recipient	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Lithuania	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	455029.0	550480.3333333334	5669933.384615385	611488.659574468	964150.5172413794	1618667.8181818181	729835.3571428572	644497.3263157895	182631.31818181818	263071.5625	223617.61313868614	218640.0172413793	345640.3125	348757.4942528736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Luxembourg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207859903.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139320026.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
New Zealand	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11703716.0	0.0	106942297.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Norway	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21862565.5	65468421.5	63586018.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62668301.0	67085688.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Poland	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25000150.333333332	35410.0	35163.0	63282.0	0.0	507129581.5	7204596.0	0.0	5732375.5	74535425.17142858	118057610.61538461	8818364.35135135	160383337.15789473	7345017.34	4192647.873786408	31259467.37962963	3628288.6464646463	3638712.811764706	2024112.8143712576	3557683.2735849055	5913655.205607477	2889951.4482758623	3154648.1315789474	2579618.0	2380631.927777778	0.0	0.0	27051.0	0.0	0.0	0.0	0.0	0.0	0.0
Portugal	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4136160.0	72382655.0	0.0	0.0	1826510.0	0.0	10931623.5	0.0	2538321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113058.0	0.0	0.0	0.0	0.0	0.0
Qatar	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9137956.0	2949100.0	0.0	0.0	0.0	9564499.0	156542.75	86607.5	83671.4	58764450.75	48527.416666666664	44651.72727272727	74878.22222222222	59382.846153846156	110122.5	32475.9	97261.06666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Romania	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22190720.5	262077414.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	636506.0	299897.0	726190.75	4723151.891891892	3301197.3928571427	1310996.0833333333	2875912.3484848486	2967438.4567901236	2333724.027777778	1817430.8128342247	1355947.1097560977	1353695.9757575758	1457366.3226544622	1150773.4232365144	574526.6940509916	478846.29879518074	46420.166666666664	0.0	13911.42857142857	6096.0	0.0	0.0	0.0	0.0	0.0
Saudi Arabia	65097.0	0.0	0.0	0.0	0.0	622892.0	12014220.0	8025035.133333334	25596755.0625	9384948.142857144	15903521.153846154	8457294.714285715	3947731.5555555555	7303372.2	0.0	10607943.75	0.0	0.0	17891601.8	74239802.0	0.0	568281.4	528420.1428571428	185308.3076923077	176697.16666666666	84310.0625	100851359.85185185	37237052.0	210301.75	132591.75	148061.5254237288	262569.875	164408.51785714287	244988.6551724138	253264.5076923077	348667.0	327156.0	176274.0	282125.0	0.0	0.0
Slovak Republic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	829186.1818181818	2627668.05	1511733.7	2945549.7073170734	6268207.342857143	267800.3058823529	1652345.1875	358948.02898550726	335097.37341772154	362230.1313131313	311879.45864661655	318637.19811320753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
